,country,year,sex,age,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($),generation
0,Albania,1987.0,male,15-24 years,21.0,312900.0,6.71,"2,156,624,900",796.0,Generation X
1,Albania,1987.0,male,35-54 years,16.0,308000.0,5.19,"2,156,624,900",796.0,Silent
2,Albania,1987.0,female,15-24 years,14.0,289700.0,4.83,"2,156,624,900",,Generation X
3,Albania,1987.0,male,75+ years,1.0,21800.0,4.59,"2,156,624,900",796.0,G.I. Generation
4,Albania,1987.0,male,25-34 years,,274300.0,3.28,"2,156,624,900",796.0,Boomers
5,Albania,1987.0,female,75+ years,1.0,35600.0,2.81,"2,156,624,900",796.0,G.I. Generation
6,Albania,1987.0,female,35-54 years,6.0,278800.0,2.15,"2,156,624,900",796.0,Silent
7,Albania,1987.0,female,25-34 years,4.0,257200.0,1.56,"2,156,624,900",796.0,Boomers
8,Albania,,male,55-74 years,1.0,137500.0,0.73,"2,156,624,900",796.0,G.I. Generation
9,Albania,1987.0,,5-14 years,0.0,311000.0,0.0,"2,156,624,900",796.0,Generation X
10,Albania,1987.0,female,55-74 years,0.0,144600.0,0.0,"2,156,624,900",796.0,G.I. Generation
11,Albania,1987.0,male,5-14 years,0.0,338200.0,0.0,"2,156,624,900",796.0,Generation X
12,Albania,1988.0,female,75+ years,2.0,36400.0,5.49,"2,126,000,000",769.0,G.I. Generation
13,Albania,1988.0,male,15-24 years,17.0,319200.0,5.33,"2,126,000,000",769.0,Generation X
14,Albania,1988.0,male,75+ years,1.0,22300.0,,"2,126,000,000",769.0,G.I. Generation
15,Albania,1988.0,male,35-54 years,14.0,314100.0,4.46,"2,126,000,000",769.0,Silent
16,Albania,1988.0,male,55-74 years,4.0,140200.0,2.85,"2,126,000,000",769.0,G.I. Generation
17,Albania,1988.0,female,15-24 years,8.0,295600.0,2.71,"2,126,000,000",769.0,Generation X
18,Albania,1988.0,female,55-74 years,3.0,147500.0,2.03,"2,126,000,000",769.0,G.I. Generation
19,Albania,1988.0,female,25-34 years,5.0,262400.0,1.91,"2,126,000,000",769.0,Boomers
20,Albania,1988.0,male,25-34 years,5.0,279900.0,1.79,"2,126,000,000",769.0,Boomers
21,Albania,1988.0,female,35-54 years,4.0,284500.0,1.41,"2,126,000,000",769.0,Silent
22,Albania,1988.0,female,5-14 years,0.0,317200.0,0.0,"2,126,000,000",769.0,Generation X
23,Albania,1988.0,male,5-14 years,0.0,345000.0,0.0,"2,126,000,000",769.0,Generation X
24,Albania,1989.0,male,75+ years,2.0,22500.0,8.89,"2,335,124,988",833.0,G.I. Generation
25,Albania,1989.0,male,25-34 years,18.0,283600.0,6.35,"2,335,124,988",833.0,Boomers
26,Albania,1989.0,male,35-54 years,15.0,318400.0,4.71,"2,335,124,988",833.0,Silent
27,Albania,1989.0,male,55-74 years,6.0,142100.0,4.22,"2,335,124,988",833.0,G.I. Generation
28,Albania,1989.0,male,15-24 years,12.0,323500.0,3.71,"2,335,124,988",833.0,Generation X
29,Albania,,female,35-54 years,7.0,288600.0,2.43,"2,335,124,988",833.0,Silent
30,Albania,1989.0,female,15-24 years,5.0,299900.0,1.67,"2,335,124,988",833.0,Generation X
31,Albania,1989.0,female,25-34 years,2.0,266300.0,0.75,"2,335,124,988",833.0,Boomers
32,Albania,1989.0,female,55-74 years,1.0,149600.0,0.67,"2,335,124,988",833.0,G.I. Generation
33,Albania,1989.0,female,5-14 years,0.0,321900.0,0.0,"2,335,124,988",833.0,Generation X
34,Albania,1989.0,female,75+ years,0.0,37000.0,0.0,"2,335,124,988",833.0,G.I. Generation
35,Albania,1989.0,male,5-14 years,0.0,349700.0,0.0,"2,335,124,988",833.0,Generation X
36,Albania,1992.0,male,35-54 years,12.0,343800.0,3.49,"709,452,584",251.0,Boomers
37,Albania,1992.0,male,15-24 years,9.0,263700.0,3.41,"709,452,584",251.0,Generation X
38,Albania,1992.0,male,55-74 years,5.0,159500.0,3.13,"709,452,584",251.0,Silent
39,Albania,1992.0,male,25-34 years,7.0,245500.0,2.85,"709,452,584",251.0,Boomers
40,Albania,1992.0,female,15-24 years,7.0,292400.0,2.39,"709,452,584",251.0,Generation X
41,Albania,1992.0,female,25-34 years,4.0,267400.0,1.5,"709,452,584",251.0,Boomers
42,Albania,1992.0,female,35-54 years,2.0,323100.0,0.62,"709,452,584",251.0,Boomers
